time,ratio
2/13/2020 18:40:27,0.05068914455
2/13/2020 18:45:23,0.1476824554
2/13/2020 18:48:59,0.1042289422
2/13/2020 19:05:00,0.05982503227
2/13/2020 19:27:47,0.08994723611
2/14/2020 0:34:41,0.1309085119
2/14/2020 7:35:13,0.1677147219
2/14/2020 10:14:28,0.1174839554
2/14/2020 10:29:47,0.1343125983
2/14/2020 11:35:10,0.4920446004
2/14/2020 12:11:55,0.1987168981
2/14/2020 12:49:16,0.1934942187
2/14/2020 23:04:44,0.2317551591
2/15/2020 8:01:01,0.2155727519
2/15/2020 12:07:21,0.2425398302
2/15/2020 19:27:13,0.2883500673
2/20/2020 19:23:41,0.3156863797
2/21/2020 14:17:51,0.2583681469
2/21/2020 17:03:34,0.2789982925
2/22/2020 17:12:50,0.211751663
2/23/2020 16:29:08,0.2704612141
2/23/2020 20:23:44,0.2372609421
2/24/2020 10:52:25,0.2841160143
2/26/2020 17:25:27,0.2438444058
2/26/2020 22:37:37,0.2573005467
2/27/2020 10:16:47,0.3890551622
2/27/2020 15:48:53,0.4196154852
2/27/2020 20:44:12,0.4248659829
2/27/2020 23:53:44,0.4533136067
2/28/2020 8:54:47,0.455692874
02/28/2020 12:31:10,0.5074133557
02/28/2020 18:28:36,0.4781983506
02/29/2020 15:49:01,0.5545524998
03/02/2020 14:33:42,0.5823539081
03/03/2020 16:19:55,0.4370831726
03/03/2020 22:45:07,0.435929151
03/05/2020 16:34:38,0.6178722521
03/05/2020 20:40:54,0.4651653966
03/06/2020 11:10:01,0.5368637297
03/07/2020 12:56:31,0.4940919037
03/08/2020 0:12:02,0.4365871962
03/08/2020 13:34:03,0.4400201296
03/08/2020 22:30:36,0.4846783346
03/12/2020 14:22:29,0.4454990814
03/12/2020 16:51:38,0.4955392743
03/13/2020 10:48:54,0.4328165375
03/13/2020 13:20:34,0.4438960184
03/14/2020 14:03:06,0.5148869066
03/16/2020 1:12:03,0.4834476588
03/25/2020 22:08:20,0.4479867165
03/26/2020 11:50:33,0.4515205371
03/27/2020 11:12:54,0.5090354524
03/27/2020 13:43:43,0.4961660583
03/27/2020 16:58:11,0.4951044524
03/28/2020 12:34:46,0.4621954336
03/28/2020 16:08:07,0.4710078486
03/28/2020 20:21:37,0.4544352315
03/29/2020 11:53:05,0.4987654842
03/29/2020 15:48:35,0.538146337
03/29/2020 19:14:10,0.4219676017
03/29/2020 21:44:54,0.5061404501
03/30/2020 9:28:09,0.5855637956
03/30/2020 13:03:04,0.4636130516
03/30/2020 17:21:51,0.5809782921
03/30/2020 22:28:09,0.5085994067
03/31/2020 12:41:01,0.447819112
03/31/2020 21:11:23,0.4993368824
4/1/2020 13:04:47,0.5321364027
4/1/2020 15:50:17,0.5317406486
04/01/2020 18:23:19,0.5301199296
04/01/2020 22:04:27,0.6413266534
04/02/2020 2:21:19,0.6388444664
04/02/2020 12:38:44,0.610076507
04/02/2020 15:24:23,0.5852360167
04/02/2020 21:45:44,0.5800222407
04/03/2020 12:51:31,0.5291007142
04/03/2020 15:14:55,0.65803184
04/03/2020 20:23:12,0.5557649985
04/04/2020 1:04:19,0.7391615723
04/04/2020 8:40:01,0.5207910751
04/04/2020 14:25:02,0.6127858674
04/04/2020 19:56:49,0.7356359541
04/05/2020 1:32:08,0.5399660956
04/05/2020 11:28:18,0.5919400978
04/05/2020 14:17:13,0.6977570358
04/05/2020 19:12:38,0.6878728822
04/06/2020 0:56:50,0.7018366797
04/06/2020 12:20:51,0.7068034709
04/06/2020 19:23:56,0.6665800113
04/06/2020 21:54:02,0.7953634908
04/07/2020 0:31:12,0.6998798829
04/07/2020 12:57:51,0.7924789933
04/07/2020 16:12:17,0.7457180583
04/07/2020 20:53:23,0.8001042124
04/08/2020 0:10:37,0.7483763276
04/08/2020 17:59:40,0.7434099228
04/08/2020 22:12:07,0.7316920941
04/09/2020 1:32:23,0.7691159085
04/09/2020 10:35:33,0.7256820378
